id,type,text1,text2,text3,notes
diableavionics_sleet,SHIP,"善于执行跨大气层任务的一种坚固耐用的护卫舰。其较大的货仓足以用来运载一些轻型车辆、炸弹、援助与补给品。自'大崩塌'后，它更多地被当作一种具备一定支援能力的远程侦察舰，而鉴于其不错的生存能力，使这一角色非常适合冻雨-级。

由于功能全面且成本低廉，使该舰一度成为{恶魔航电}的畅销品，这并不难理解，因为在时下这个充满危险与机遇的环境中，这种被设计用以适应低强度的战斗环境或不对称战争的冻雨-级，因其出色的生存力与合理的货仓空间，而使它们成为了星际探索者们的首选。",,,
,,,,,
,,,,,
# VERSANT,,,,,
,,,,,
,,,,,
diableavionics_versant,SHIP,"在{""大崩塌""}前不久，{恶魔航电}幸运的在即将倒闭的当地分支机构中获得了斜坡-级的原始蓝图。它的移动框架不仅可自由操纵形态来增加火力，或增加推力，还集成了最先进的{恶魔航电}量子目标预测软件{(TM)。

因与勇士-级万泽联队并行开发过很长一段时间，使尺寸归纳于护卫舰的斜坡-级与前者共用着许多相似组件。因{恶魔航电}的军事准则中存在战术缺口，且无法完全由蒸汽-级轻型护卫舰来填补，所以导致最终成品完全背离了设计之初的轻量化的思路，但这种高机动的""万泽""，依旧只有少数高速护卫舰才能与之相提并论。此外，超大尺寸的引擎因需要主武器系统断开连接才能满负荷运行，因此才采用了物理移动的方式来使主引擎适应可变的幅能网络。

而一种经常被忽视的设计怪癖，则存在于斜坡-级质量中心所安装的超密度陀螺仪，除了密度比通常陀螺仪高出{8}倍，还能大幅度提高实验性全盾的展开速度。有趣的是，由于陀螺仪经常被用来帮助该舰快速旋转，导致维修人员经常抱怨该陀螺仪在运作时所产生的尖叫，随着旋转的继续，这种尖叫将持续好几个小时。",,,
,,,,,
,,,,,
# DESTROYERS,,,,,
# DESTROYERS,,,,,
# DESTROYERS,,,,,
,,,,,
,,,,,
# STRATUS,,,,,
,,,,,
,,,,,
diableavionics_stratus,SHIP,"配备有军用级模块化炮台的武装商舰，虽然货舱被略微精简，但足以威慑那些抱有敌意的海盗们。

货物运输总是个沉闷而危险的任务，为了让那些蛰伏于偏远地带的强盗们不会感到兴奋，作为你最可靠的伙伴，与其它同类竞争对手相比，层云-级仅牺牲了少量的载货量却获得了更快的航速，且生存力更强。",,,
,,,,,
,,,,,
# STRATUS PIRATE,,,,,
,,,,,
,,,,,
diableavionics_stratus_p,SHIP,"虽然因长期不规范的后勤维护，导致该舰的某些性能出现了明显退化，但一些敏锐的观察者却从中发现了端疑，这些非标准的船体在出厂后并未有被修改过的痕迹，而更像是一种截然不同的变种版本。事实上，在过去很长一段时间，{恶魔航电}的军方一直秘密地用这些改装后的船只去武装海盗，但由于这类船只很快被转手给那些对{恶魔航电}的货物同样抱有兴趣的人们手中，使这一计划很快就产生了事与愿违的结果，而导致这种海盗版的航电船体在如今已经比较罕见。

这种海盗变种版不仅保留了军用级的船体与发动机，并通过牺牲货仓空间来为中型武器库以及一些额外炮塔与微型导弹发射器提供足够的空间。而这些改进措施使其非常适合用于后勤负担较低的商业突击队：由负责正面突击的护卫舰以及负责远程火炮支援的武装商舰所组成。这种舰队的优势在于，交战一旦结束，即可立即开始打捞回收任务。",,,
,,,,,
,,,,,
# CIRRUS,,,,,
,,,,,
,,,,,
diableavionics_cirrus,SHIP,"用于运输地面部队的层云-级变种，其搭载的飞行甲板尽管迫使原主炮塔遭到移除，但也使该舰获得了整备万泽联队的能力，也让改造完成后的卷云-级几乎没有蒙受任何损失。

舒适的客舱以及为乘客着想的优质服务，让人们将卷云-级亲切地称之为""恶魔的电锅""。事实上，不管是在运送海军陆战队或是卑微的奴隶，它的内部布局总是一成不变的，而在现实中，它与那艘货运表兄的地位也几乎是一致的。",,,
,,,,,
,,,,,
# CHINOOK,,,,,
,,,,,
,,,,,
diableavionics_chinook,SHIP,"坚固的反物质燃料输送舰，经常往返于偏远星域用以提供燃料后勤补给。

任何战争机器都只能在出色的后勤运作中得以发挥出全部实力，而能在友好区域外长期执行运输任务的焚风-级，毫无疑问的成为了{恶魔航电}后勤补给线中的重要成员。

因运输这些反物质燃料存在一定的危险性，所以用于储存燃料的罐体采用了可分离式的磁性安全容器，并获得了军用级的装甲保护，即使这些罐体处于不可控的爆炸边缘，舰长也可通过简单的命令将其分离，以避免波及到舰体的本身安全。",,,
,,,,,
,,,,,
# FRACTUS,,,,,
,,,,,
,,,,,
diableavionics_fractus,SHIP,"根据焚风-级燃料输送舰改装的武装航母，通过移除两处燃料罐，以腾出空间来搭载中型通用武器挂载点以及飞行甲板，以此来使该舰拥有一定防御火力的同时具备整备万泽联队的能力。

为了帮助减少对大型或昂贵的主力航母的需求，碎云-级不仅解决了前者的问题，还能以其飞行甲板提供战术层面的援助。尽管{30%}的碎云-级都完全致力于维修万泽联队，但依旧有大量的变种版本充斥着星域，其中就不乏那些配备有诸多奢侈品的豪华版，例如内置私人医院，甚至还有可运行另类经典游戏{[精英公民]}这样的{VR}训练模拟器。",,,
,,,,,
,,,,,
# COANDA,,,,,
,,,,,
,,,,,
diableavionics_coanda,SHIP,"一艘能够在承担防御职责的同时以牙还牙的前线作战驱逐舰。这种老式设计不断被现代化，至今仍因宽敞的设计和战场上内敛的残暴受到恶魔航电舰长和船员的青睐。

该舰是恶魔航电早期理念的回归：当时恶魔航电主要生产符合人之领合同的舰船，而非自己设计并出售给最高的投标人。尽管如今该舰已经适应了恶魔航电的军事理论，在性能上为最初设计目的而做出的让步仍然显而易见。例如十分原始的物理防护手段，而非护盾和高机动性，以及为长途旅行准备的像样货舱。

其中一项现代化改进是针对原本的阻尼力场进行的，改装过的战术装置被称为阻尼波发生器：相较于原本生成保护船体的静态场，这个装置能产生特殊的波，使舰船展现出与它的模样完全不匹配的规避能力。",,,
,,,,,
,,,,,
# CALM,,,,,
,,,,,
,,,,,
diableavionics_calm,SHIP,"{平静-级}可以为舰队作战提供全面支持，高速脉冲发动机和前置武器布局使其适合在战场上扮演各式具备进攻性的角色。

该设计的独特之处在于其舰际合作协议系统，这使{平静-级}可以在选择无人机行为的同时增强它们的部分性能。

{平静}系列以新型钢结构框架为基础，外附反应装甲复合板，内部则通过蜂窝结构组装。这种效率稍低的工艺可以提供足够的结构强度，以便其搭载更重的装甲，导弹发射井和功率相对过大的{X}脉冲聚变发动机。",,,
,,,,,
,,,,,
# HAYLE,,,,,
,,,,,
,,,,,
diableavionics_hayle,SHIP,"尽管内部结构被精简到最低限度，这些精致的框架上依旧被尽可能的搭载了众多武器。虽然脆弱的后侧需时刻注意掩护，但凭借无与伦比的正面火力，这艘驱逐舰足以在与敌舰正面交锋时立于不败之地。

作为一艘军事用舰，这种放弃大部分常规装甲覆盖，转而仅在关键区域应用增强后的反应装甲，来搭载大量武器以及先进的二级闪烁系统的设计理念，使{海勒-级}更像是一种全副武装的火力平台。此外，考虑到内置的战术系统所导致功率需求的增加，使该舰除了使用激光散热器之外，还采用了一种过时的、安装于船体外部的散热装置来作为最终解决方案。根据一名在食堂夸夸其谈的上尉所描述的故事，当他驾驶的{海勒-级}的反应堆因不明原因突然失效，而陷入绝望的他却利用该舰的""尖端""以突刺的方式摧毁敌舰，但至今尚未有实战记录表明这种战术的有效性。",,,
,,,,,
,,,,,
# DERECHO,,,,,
,,,,,
,,,,,
diableavionics_derecho,SHIP,"大部分的质量被用于搭载复杂的{ECM}设备的设计，使其几乎没有足够空间用于搭载后勤设备。

作为少见的{ECM}特化驱逐舰，因它的外壳容纳了一种鲜为人知的量子{ECM}系统，而该设备的复杂性也使雷暴-级无法进行大规模生产。此外，由于该系统似乎会将特定波段的电磁辐射从本地重定向到相位空间，从而导致附近所有制导系统失效。而另一个无法解释的现象，则是系统激活时，它所射出的紫色脉冲光，经常导致船员们报告他们会出现暂时失明或左肢麻木，而正因这些谣言，导致仅隔四个星期就需重新替换所有机组人员。尽管官方坚持否认该系统对船员有任何长期影响，但至今仍未公布这项结论的研究报告。",,,
,,,,,
,,,,,
# POCKET GUST,,,,,
,,,,,
,,,,,
diableavionics_miniGust,SHIP,"虽然明显与疾风-级船体设计存在某种联系，但如今尚未清楚它就是前者小型化后的产物，不管怎样，'口袋疾风'这种结合了其大哥诸多优点而诞生的灵活驱逐舰，因结果出人意料的成功而被正式投产。

阵风-级不仅配备了优于同类型舰种的轻型武装，且搭载了独特的""远程遥控""战术系统，而这对于一支小型突击舰队来说，它所发挥的作用不言而喻。但与疾风-级相比，尤其是在大规模会战中，极为有限的点防系统与较小的护盾覆盖范围，使其有效性大打折扣。",,,
,,,,,
,,,,,
VIRTUOUS,,,,,
,,,,,
,,,,,
diableavionics_virtuous_skirmisher,SHIP,"贤者-级}混合万泽的设计制造从未考虑过诸如成本效益或符合战略原则的琐事，因为从没有人打算对其进行任何形式的大规模投产。它被设计出来的目标是成为一个技术奇迹，以展现{恶魔航电}最先进的科学技术和工程知识。这艘战舰几乎完全配备了由手工制作的精细定制的武器和系统，拥有在同级别舰船中令人印象深刻的性能，一系列可变更的装备则可以极大程度上改变它的战斗方式。

比起一艘战舰，贤者-级}更像一项耗资数十亿星币的浮夸工程，这个计划被酝酿了数十年，旨在推动{恶魔航电}的技术向前发展。这个项目荒谬到{恶魔航电}的竞争对手甚至都没有派出他们的间谍来刺探情报，因为他们担心这样明显的诱饵会让自己看起来很可笑。这个项目在人工智能、神经机械学和生物计算机方面屡屡触及底线，以至于因为担心来自人之领中央机构的打击，直到大崩塌前它都被无限期地搁置着。即便如此，贤者}项目依然为大崩塌前的{恶魔航电}带来了许多的技术进步: 从万泽性能的快速发展到先进远程控制接口以及相位漂移。

当星门关闭后，所有对人之领的愤怒 (或失去与人之领间大量商贸订单) 的担忧都变得毫无意义，如今的{恶魔航电}研究所对被奴役{AI}以及伦理的担忧要少了许多，因为他们有机会打开一项奇妙新技术的大门。英仙座地区}残缺的工业基础让他们只有能力生产一艘战舰，这艘战舰在{星历178年}公开进行了试航。它的表现被广泛宣传——恶魔航电}从不错过绝佳的宣传机会，但实现这些技术的方法被严格保密，哪怕是对一些工程师来说也是如此。例如: 主计算机是一个直径一米的钨合金分子密封球体，只有两个金属接点提供能量，完全离线运行，没有任何方法重新编程，甚至无法看到它的组件。让许多最激进的{恶魔航电}成员感到沮丧的是，这架不可替代的舰船从来没有被派去执行过进攻任务，而是一直在{恶魔航电}的主星系中巡逻。恶魔航电}既害怕在战争中失去它，也不愿看到它被任何其他势力回收。",,,
,,,,,
,,,,,
# CRUISERS,,,,,
# CRUISERS,,,,,
# CRUISERS,,,,,
,,,,,
,,,,,
# GUST,,,,,
,,,,,
,,,,,
diableavionics_gust,SHIP,"作为{恶魔航电}的主力军，疾风-级不仅速度卓越，还能为其搭载的万泽联队提供战术支持。内置的大型混合炮台尽管能在意想不到的时机予以重击，但因缺乏次级武器，而限制了在抵御多重威胁时的效力。

疾风-级悠久的历史甚至可以追溯到{c.250}星历年的{""大崩塌""}时期，尽管当时{恶魔航电}的军事理论才刚刚成型，但军工业的发展却已然达到顶峰。依据最古老的疾风-级的历史笔记和备份日志，有相当多的内容都是在描述将{""霸王""}战术系统内置于船体框架所存在的诸多难点。

因这种装置能让优秀的飞行员在安全的巡洋舰中直接获得外部任何舰载机的控制权，为此不仅需要一种开放式的传输端口，且受限于{速子科技}系统终端的链接成本与持续时间，因此必须在保证信号传输并维持的同时，阻止敌对势力利用这种通用系统终端的漏洞而大规模远程控制万泽联队的情况。

尽管如此，该系统所发挥的作用仍然十分出色，不仅可在紧要关头实施决定性的打击，还能帮助常规飞行员在实战中以身临其境的方式学习如何提高生存率与打击效率，当然，为了不惜一切代价而确保执行任务的成功，这种战术系统臭名昭著。",,,
,,,,,
,,,,,
# RIME,,,,,
,,,,,
,,,,,
diableavionics_rime_m,SHIP,"这种轻型巡洋舰因并不出色的战斗性能而正被逐渐淘汰，但仍能扮演一种为舰队后方提供支援的角色，由于其船体脆弱且没有安装可以整备万泽联队的精密设备，海军部决定将所有现役雾松-级改装成武装商舰。

雾松-级悠久的服役历史甚至可追溯到'大崩塌'之前，凭借优秀的速度、宽敞舱体带来的两处飞行甲板，使其综合作战方面表现优秀，并成为那几十年内最为活跃的舰体之一。不幸的是，随着一代又一代的万泽登场，这些大块头的作战兵器使雾松-级的小机库越发捉襟见肘，直至像暴风-级这类更出色的新式设计的出现，最终将雾松-级推下了历史的聚光灯下。",,,
,,,,,
,,,,,
# RIME F,,,,,
,,,,,
,,,,,
diableavionics_rime,SHIP,"作为一艘非军事化的船体，尽管其本身仅搭载有适当的武装，但内置的等离子爆裂驱动器，足以保证其轻松摆脱敌方的阻截。因得益于其战舰血统，所配备的高效且安静的驱动系统也让该舰受益匪浅。

尽管外形合理，但由于采用了外置燃料罐的设计，而导致该货舰被严令禁止驶入大气之中，不过，轻盈的空气制动系统，使其不影响它与轨道空间站的物流设施进行对接。此外，因采取了混合货仓的设计，使其仅凭一己之力就足以满足一支标准远程队的所有后勤需求。",,,
,,,,,
,,,,,
# RIME PIRATE,,,,,
,,,,,
,,,,,
diableavionics_rime_p,SHIP,"虽然因长期不规范的后勤维护，导致该舰的某些性能出现了明显退化，但一些敏锐的观察者却从中发现了端疑，这些非标准的船体在出厂后并未有被修改过的痕迹，而更像是一种截然不同的变种版本。事实上，在过去很长一段时间，{恶魔航电}的军方一直秘密地用这些改装后的船只去武装海盗，但由于这类船只很快被转手给那些对{恶魔航电}的货物同样抱有兴趣的人们手中，使这一计划很快就产生了事与愿违的结果，而导致这种海盗版的航电船体在如今已经比较罕见。

该海盗变种版不仅保留了大部分原始设计中的可用炮塔，并从货舰改装中所找到的灵感，比如额外的点防武器阵列。然而，为了防止{恶魔航电}的机密军事硬件落入敌人之手，而彻底拆除了原本的战机甲板，并在这处空间保留了一个像样的货仓。",,,
,,,,,
,,,,,
# HAZE,,,,,
,,,,,
,,,,,
diableavionics_haze,SHIP,"具备可观火力与卓越机动于一体的高速巡洋舰，且依靠战术系统产生的短期破坏力，而使该舰臭名昭著。

作为突击舰队的重要组成部分，除了遍布于船体每一寸空间的武器系统，相对坚固的框架结构也被尽可能的扩展，以容纳额外的通用原子融合反应堆，以帮助这些武器可在短期过载运转。不幸的是，这些额外反应堆所产生的高温，远远超出可用散热器的耗散能力，导致所有系统无法长期同时满负荷运转。",,,
,,,,,
,,,,,
# DAZE,,,,,
,,,,,
,,,,,
diableavionics_daze,SHIP,"一种为提供压制性火力而增强耗散与装甲的笨重巡洋舰。虽然武器阵列的数量稍显不足，但混乱-级依旧可通过所配备的最佳武器，并在幅能重定向战术系统的帮助下，肆无忌惮的倾泄火力。

毫不夸张地说，混乱-级就是为了超越如同手术刀般的表姐：阴霾-级而出生的。无论是为确保持久火力的三重幅能耗散阵列，还是能抵消来袭火力的双层陶瓷装甲，都无时无刻的向人们传达着它唯一的战术方针：向前推进。尽管缺乏灵活性的混乱-级经常受到各方面的批评，但真实存在的出色表现，使得这类舰船将在可预见的未来里继续生产下去。",,,
,,,,,
,,,,,
# STORM,,,,,
,,,,,
,,,,,
diableavionics_storm,SHIP,"坚固耐用且应用广泛，尽管缺乏重型武器，暴风-级具备的扩充万泽联队的能力，让它成为了一种可靠的武装力量投射平台。

暴风-级武装航母在设计之初就考虑到在保证可大规模生产的同时，兼并足够的强度，而使其足以抗衡那些更专业化的{人之领}航母设计。值得注意的是，尽管该航母可配备的武器种类繁多，但因四处中型炮塔的射界较为分散，而在右舷处内置了一个弹匣式的微型导弹系统，来弥补火力网中的盲点。",,,
,,,,,
,,,,,
# CAPITAL,,,,,
# CAPITAL,,,,,
# CAPITAL,,,,,
,,,,,
,,,,,
# MAELSTROM,,,,,
,,,,,
,,,,,
diableavionics_maelstrom,SHIP,"围绕微型导弹阵列与重型闪烁系统而建立的一种细长而灵活的战列巡洋舰。由于能搭载臭名昭著的枪骑兵围攻加农炮，使旋流-级成为了{恶魔航电}主要的战略打击平台。

虽然很难与战列舰正面抗衡，但灵活的旋流-级依旧可扮演多种战术角色，从辅助航母到远程火力支援舰，且如果能掌握合适时机，并灵活运用相位驱动器来调整舰体位置，就使其足以成为一种能力出色的攻击舰。

由于在设计之初就是为了创造一种具备'相位穿梭'能力的战舰，而让旋流-级的船体不仅被最大限度的轻量化，还配备了两颗沉重的闪烁核心与额外的电容器。但经过数个月的尝试后，一些残骸和一处被摧毁的测试用空间站，使这个项目的激进程度被大幅度缩减。

研究表明，通过适当浸入相位空间，来让舰船看似瞬间移动的理论尽管看似行之有效，但不可预测的高风险，让研究者不得不将闪烁核心调整为利用相位空间内的部分能量与效应，而使船体在真实空间内进行短期移动。实现这项可贵技术突破的困难程度，也使人们将更进一步远程传送主力舰的希望扔进了'违背物理定律'的垃圾桶内。",,,
,,,,,
,,,,,
# PANDEMONIUM,,,,,
,,,,,
,,,,,
diableavionics_pandemonium,SHIP,"作为一种宣传工具而非战斗专用来开发并使用的主力舰。虽然魔窟-级庞大的舰体配备了令人眼花缭乱的武器阵列，但与多艘旋流-级相比，该舰的整体效率依旧相当之低。尽管在时下快节奏的海军作战理论中难以找到一席之地，但作为一种打击士气的轰击平台，没有任何一艘{恶魔航电}的战舰能与魔窟-级相提并论。

由于经常作为战争时期的政治工具，特别是在双方谈判期间，航电军方总会在周遭不合时宜地进行着""武器试验""与""船员演习""，并向一艘早已无法打捞的战舰残骸进行开火。而一旦谈判结束，那团发光且无法辨认的扭曲金属快则被留在原地，并成为一种可怕的无声威胁。

鉴于这类舰船的稀缺性，每个蓝图都被特意专业化，这导致了多种不同的魔窟-级蓝图的存在，例如当前星区中唯一的经典版本，则配备了专用的万泽整备工厂，以填补现代战场上的重要角色，但也很可能是因{""大崩塌""}期间，为了适应不断变化的军事准则，而将此前多版本的优点尽数整合，不管怎样，该舰的最终版本虽然融合了两者优势，但也导致后勤维护成本十分高昂。

而在防护方面，魔窟-级采用简单的多层反应装甲附着在新型钢质框架上的方式，但由于这种保护模式的规模较大，使其质量甚至媲美于部分中型空间站，而这也导致魔窟-级的停靠流程非常麻烦，且因很少有空间站具备专业的大型对接设施，而使得该舰经常需要一种轨道推进装置的辅助。",,,
,,,,,
,,,,,
# SPECIAL,,,,,
# SPECIAL,,,,,
# SPECIAL,,,,,
,,,,,
,,,,,
# GULF,,,,,
,,,,,
,,,,,
diableavionics_IBBgulf,SHIP,"这些舰船不仅都经过大规模的改装，且大多都远远超出原始的设计规范，这样做的目的，不仅仅是让其扮演原本无法从事的特定角色，更多的则是从原始船体中榨取最后一滴可用潜能。只有在极少数情况下，一艘舰船才会被如此彻底改造，成为了一艘所谓的'新船'，这些承载着独特性能以及更高能力的舰船，人们通常都会在舰种名前加上{Mod，代表'改造'。随着它们在战场上取得杰出成就并获得传说级声望，也使其成为了精英海盗、赏金猎人、行业精英们梦寐以求的珍贵财产。

星域中一直流传着许多有关深渊-级是如何诞生的传闻，而这些自相矛盾的流言中，只有一则最不浮夸、最接近真相、诉说着一名天才黑客的故事。这个匿名的家伙据说是个理想主义者，他鄙视{恶魔航电}对军事力量的盲目推崇，在实行高税收政策的同时，却对公民诉求漠不关心的态度。为了急于离开这片星系，他设法攻破了安保协议，并顺利获权控制了自动制造工厂的{AI，之后他开始准备生产一艘用来逃跑的舰船，但在尝试以篡改数据的方式来加快生产进程的时候，却意外导致{UAC}数据被彻底破坏。

而该工厂最终生产出一艘仅有一半涂装，融合了疾风、平静、阴霾的融合体。但震惊的是，这名黑客通过一次模拟演示，发现该舰足以在空间作战中证明它的存在价值。

尽管得知该消息后的航电当局，成功回收该舰，但官方声明中却并未提及那名黑客是否遭到逮捕。虽然几乎所有工程师均致电过海军部，要求目睹该原型舰的真容，好将其拆开，并学习其独特的设计理念，但由于他们无法保证能仿制成功，或者将其重新组装回去，所以为了以防万一，海军上将们经商议决定将其直接投入现役。

此后独特的深渊-级花费了数十年的时间，服务于{恶魔航电}的秘密特遣小组，并赢得了臭名昭著的声誉。据公开记载中所提及到的，在{c.188}星历年的{霸主}与速子科技的第二次{AI}战争期间，深渊-级在参与袭击运输舰队的秘密任务中失去踪迹。",,,
,,,,,
,,,,,
# FIGHTERS,,,,,
# FIGHTERS,,,,,
# FIGHTERS,,,,,
,,,,,
,,,,,
# VORTEX,,,,,
,,,,,
,,,,,
diableavionics_vortex,SHIP,携带单一{PD}武器的装甲无人机，不仅能为平静-级提供额外的防御火力，还能在近距离交战中打击目标。,,,
,,,,,
,,,,,
# ARBITRATOR,,,,,
,,,,,
,,,,,
diableavionics_arbitrator,SHIP,"令人惊讶，仲裁-级作为{恶魔航电}唯一的非万泽型战机，也是一种跨大气层飞行器的最终迭代版。凭借{""落锤""}助推器赋予的卓越航速，以及{IBIS}与突击转轮突击炮带来的可观短期火力，使该高速截击机不管是拦截或是与战机缠斗时都丝毫不落下风。

如果光从工艺角度来看，仲裁-级确实很容易让人们联想到雷霆重型截击机，毕竟它们都有着共同的血统。除了拥有不同的引擎、航空电子设备与武器装备，但整体框架的相似度，仍然与几个世纪前就诞生的{人之领}标准战斗机存在着诸多相似之处。",,,
,,,,,
,,,,,
# ARBITRATOR Z,,,,,
,,,,,
,,,,,
diableavionics_arbitratorZ,SHIP,仅被小批量生产的一种低成本轰炸机，由于很难在市场上购买到它，导致其出场频率不高。通过移除标志性的落锤助推器与常规武器，以便为珩科鸟火箭发射架与{IBIS}腾出空间。,,,
,,,,,
,,,,,
# FROST,,,,,
,,,,,
,,,,,
diableavionics_frost,SHIP,"利用反导弹与反战机武器来执行护航任务的基准型万泽联队。而这一廉价且高效的系列早已证明了它们的存在价值。

作为第六代万泽系列，仅仅只有两代人才能有幸成为这艘概念万泽联队的驾驶员。由于平台技术的不成熟，以及配备的航电设备不太适合在空间内高速作战，因此才被迫将霜冻-级降级为支援型角色。但也为此给其配备了滑膛突击炮，以及拥有钨涂层的战斗利刃，而这些短程且低精度的武器，却最大限度的增加了致命打击近程目标的机会。虽然交战范围有限，但霜冻-级仍能轻松执行护航任务，且出色的战力永远不会被敌方标准战斗机的飞行员所轻视。",,,
,,,,,
,,,,,
# STRIFE,,,,,
,,,,,
,,,,,
diableavionics_strife,SHIP,"基于第六代万泽底盘而构建，凭借额外的电镀装甲与冗余系统，冲突-级不仅站在了万泽食物链的顶端，它还依靠多功能破片速射武器和整合点防御系统在星域中享有盛誉。但在面对全副武装的重型目标时，它因缺乏足够的反装甲武器而表现不佳。

为了帮助高性能脉冲驱动器与沉重的武器系统的正常运作，该万泽联队的后方被额外附加了次级反应堆与混合燃料罐。由于所有关键区域{(包括四肢)}都被数层电镀装甲所覆盖，导致比其它万泽联队稍显笨拙的同时，难以扮演截击机的角色，但它仍能仅凭一己之力摧毁一艘与它缠斗的护卫舰。",,,
,,,,,
,,,,,
# HOAR,,,,,
,,,,,
,,,,,
diableavionics_hoar,SHIP,"基于第六代万泽底盘而构建的白霜-级，凭借成熟的技术平台，两门能灵活打击舰艇与导弹的{AFP{-{99}'墓碑'速射炮，以及能迅速利用EMP伤害瘫痪一整支战机联队的爆发式{威尼}EMPR，使其成为了专门与大型战舰协同作战的一种全面且高效的优秀设计。

因其能在预算范围内按时生产，且严苛的设计规范使它在测试期间伤亡率极低，所以白霜-级的底盘研制过程至今仍被应用于之后的开发项目之中，此后，为了能迅速应对不断发展的空间战术，从而让白霜-级经历了多次升级，其中就包含了改进后的引擎，以及更轻更坚固的装甲与更优秀的武器。此外，当涉及到多任务和精细操作的战后搜救行动时，拥有较大框架、坚固结构以及预警装置的白霜-级，此刻正好能发挥出意想不到的优势。

在某些情况下，近卫护航任务显然并不是白霜-级的极限所在，因此，不满足于现状的恶魔航电设计委员会决定用这种优秀的万泽设计来测试他们的量子目标预测器{(TM)的原型机。这种有些简陋{(与后来计算机与软件相比)}的目标超控系统也得此揭示了其尚未开发的深度潜力：在极短的时间内，测试用的万泽不仅能精确打击尽可能多的目标，一旦解除系统安全限制，它就能在该时间段内摧毁大部分的目标。遗憾的是，必须在超低温下运作的该系统显然无法长时间内保持在线状态，而另一方面，在几秒钟内连续射击十几次时后随时可能解体的万泽意味着内部的船员们难以存活太久。",,,
,,,,,
,,,,,
# WARLUST,,,,,
,,,,,
,,,,,
diableavionics_warlust,SHIP,"缓慢而致命，凭借极具破坏力的远程动能武器、微型导弹发射舱、魔术盒反导发射器以及两架无人机，使其不仅能高效处理轻型目标，也能严防死守，而让该万泽足以扮演一种一流的护卫舰或攻击艇。

不仅是防御类万泽的黄金标准，其合理的造价也完美平衡了其有效性。其底盘基于一种全自动化点防御解决方案，并采用标准化的{MULS-P}多元联动系统生产。通过这种可互换的智能系统，即使是两种不同系列的第七代万泽组件，在无需武器校准的前提下，也可相互匹配，因此，只需将损坏的零件替换出来，放置在一旁进行战斗外的维修，就可完成该万泽的整备流程，所以大大节约了航母的工作量。",,,
,,,,,
,,,,,
# AVALANCHE,,,,,
,,,,,
,,,,,
